id,expected,output,parsed,correct,status,error,latency_ms,input_tokens,output_tokens,eval_count,eval_duration,eval_duration_ms,generation_tokens_per_second
030,License Grant,License Grant,License Grant,True,ok,,2267.703099991195,986,3,3,104984000,104.984,28.575782976453556
031,Non-Transferable License,Non-Transferable License,Non-Transferable License,True,ok,,2406.222300021909,991,6,6,111648000,111.648,53.740326741186585
032,Non-Transferable License,Non-Transferable License,Non-Transferable License,True,ok,,2365.2307000011206,987,6,6,193504000,193.504,31.007110964114435
033,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,True,ok,,2476.9047999870963,989,12,12,339219000,339.219,35.37537696886083
034,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,True,ok,,2559.60559999221,986,12,12,372330000,372.33,32.22947385383934
035,Irrevocable or Perpetual License,Irrevocable or Perpetual License,Irrevocable or Perpetual License,True,ok,,2458.1845000211615,987,10,10,279426000,279.426,35.78765039760079
036,Irrevocable or Perpetual License,Irrevocable or Perpetual License,Irrevocable or Perpetual License,True,ok,,2503.5975000064354,985,10,10,319896000,319.896,31.26015955185435
037,Source Code Escrow,Source Code Escrow,Source Code Escrow,True,ok,,2357.827100000577,994,5,5,174306000,174.306,28.685185822633763
038,Source Code Escrow,Source Code Escrow,Source Code Escrow,True,ok,,2380.7755000016186,997,5,5,188109000,188.109,26.580333742670472
039,Post-Termination Services,Post-Termination Services,Post-Termination Services,True,ok,,2416.2004999816418,991,6,6,229876000,229.876,26.101028380518194
040,Post-Termination Services,Post-Termination Services,Post-Termination Services,True,ok,,2396.306699985871,990,6,6,222187000,222.187,27.00428017840828
041,Audit Rights,Audit Rights,Audit Rights,True,ok,,2296.1548999883235,989,3,3,105967000,105.967,28.310700501099397
042,Audit Rights,Audit Rights,Audit Rights,True,ok,,2294.7453999950085,990,3,3,96579000,96.579,31.062653371851024
043,Uncapped Liability,Uncapped Liability,Uncapped Liability,True,ok,,2329.899200005457,984,4,4,156033000,156.033,25.63560272506457
044,Uncapped Liability,Uncapped Liability,Uncapped Liability,True,ok,,2315.043800015701,992,4,4,126555000,126.555,31.606811267828217
045,Cap on Liability,Cap on Liability,Cap on Liability,True,ok,,2375.302999978885,992,4,4,97710000,97.71,40.93746801760311
046,Cap on Liability,Cap on Liability,Cap on Liability,True,ok,,2319.865800003754,989,4,4,140238000,140.238,28.522939574152513
047,Liquidated Damages,Liquidated Damages,Liquidated Damages,True,ok,,2380.16709999647,996,5,5,163114000,163.114,30.65340804590654
048,Liquidated Damages,Liquidated Damages,Liquidated Damages,True,ok,,2370.949100004509,992,5,5,166615000,166.615,30.009302883894005
049,Insurance,Insurance,Insurance,True,ok,,2289.0141000098083,989,2,2,26417000,26.417,75.70882386342129
050,Insurance,Insurance,Insurance,True,ok,,2247.335199994268,992,2,2,54871000,54.871,36.44912613220098
