id,expected,output,parsed,correct,status,error,latency_ms,input_tokens,output_tokens,eval_count,eval_duration,eval_duration_ms,generation_tokens_per_second
038,Source Code Escrow,Source Code Escrow,Source Code Escrow,True,ok,,2432.8858999942895,1007,5,5,216681000,216.681,23.07539655068972
039,Post-Termination Services,Post-Termination Services,Post-Termination Services,True,ok,,2253.697200008901,1001,6,6,138256000,138.256,43.39775488948039
040,Post-Termination Services,Post-Termination Services,Post-Termination Services,True,ok,,2319.7614999953657,1000,6,6,140996000,140.996,42.55439870634628
041,Audit Rights,Audit Rights,Audit Rights,True,ok,,2172.1627000079025,999,3,3,57804000,57.804,51.89952252439277
042,Audit Rights,No-Solicit of Customers,No-Solicit of Customers,False,ok,,2464.2270999902394,1000,6,6,247406000,247.406,24.25163496439052
043,Uncapped Liability,Uncapped Liability,Uncapped Liability,True,ok,,2238.805900007719,994,4,4,116858000,116.858,34.2295777781581
044,Uncapped Liability,Uncapped Liability,Uncapped Liability,True,ok,,2301.4393000048585,1002,4,4,110719000,110.719,36.127493926065085
045,Cap on Liability,Cap on Liability,Cap on Liability,True,ok,,2428.2418999937363,1002,4,4,225530000,225.53,17.735999645280007
046,Cap on Liability,Time Limit,,False,parse_error,Output is not an exact allowed category name,2165.411900001345,999,3,3,56337000,56.337,53.250971830235905
047,Liquidated Damages,Liquidated Damages,Liquidated Damages,True,ok,,2442.8507999982685,1006,5,5,224244000,224.244,22.29714061468757
048,Liquidated Damages,Price Restrictions,Price Restrictions,False,ok,,2186.853199993493,1002,3,3,60544000,60.544,49.5507399577167
049,Insurance,Non-Compete,Non-Compete,False,ok,,2404.0643999760505,999,5,5,179392000,179.392,27.871922939707456
050,Insurance,Non-Disparagement,Non-Disparagement,False,ok,,2266.0077000036836,1002,6,6,136212000,136.212,44.04898246850498
