id,expected,output,parsed,correct,status,error,latency_ms,input_tokens,output_tokens,eval_count,eval_duration,eval_duration_ms,generation_tokens_per_second
041,Audit Rights,Audit Rights,Audit Rights,True,ok,,132.2592080105096,1461,3,3,38453000,38.453,78.01731984500559
042,Audit Rights,Post-Termination Services,Post-Termination Services,False,ok,,194.28595807403326,1462,6,6,95425000,95.425,62.87660466334818
043,Uncapped Liability,Uncapped Liability,Uncapped Liability,True,ok,,157.74258296005428,1456,4,4,59555000,59.555,67.16480564184367
044,Uncapped Liability,Uncapped Liability,Uncapped Liability,True,ok,,153.42112490907311,1464,4,4,59649000,59.649,67.05896159197975
045,Cap on Liability,Cap on Liability,Cap on Liability,True,ok,,152.9616250190884,1464,4,4,59027000,59.027,67.76559879377234
046,Cap on Liability,Cap on Liability,Cap on Liability,True,ok,,155.74699989520013,1461,4,4,59297000,59.297,67.4570382987335
047,Liquidated Damages,Liquidated Damages,Liquidated Damages,True,ok,,179.5757079962641,1468,5,5,80637000,80.637,62.006275035033546
048,Liquidated Damages,Liquidated Damages,Liquidated Damages,True,ok,,177.7538328897208,1464,5,5,80880000,80.88,61.819980217606336
049,Insurance,Insurance,Insurance,True,ok,,119.5212088059634,1461,2,2,20298000,20.298,98.53187506158243
050,Insurance,Insurance,Insurance,True,ok,,121.20483303442597,1464,2,2,19421000,19.421,102.98130889243602
