id,expected,output,parsed,correct,status,error,latency_ms,input_tokens,output_tokens,eval_count,eval_duration,eval_duration_ms,generation_tokens_per_second
021,Minimum Commitment,Minimum Commitment,Minimum Commitment,True,ok,,2288.583400018979,986,4,4,124866000,124.866,32.03434081335191
022,Minimum Commitment,Minimum Commitment,Minimum Commitment,True,ok,,2338.3927999821026,988,4,4,162344000,162.344,24.63903809195289
023,Volume Restriction,Volume Restriction,Volume Restriction,True,ok,,2297.3720000009052,989,4,4,119151000,119.151,33.570847076398856
024,Volume Restriction,Volume Restriction,Volume Restriction,True,ok,,2324.3411000003107,987,4,4,144298000,144.298,27.72041192532121
025,IP Ownership Assignment,IP Ownership Assignment,IP Ownership Assignment,True,ok,,2255.3559000079986,988,4,4,104603000,104.603,38.23982103763754
026,IP Ownership Assignment,IP Ownership Assignment,IP Ownership Assignment,True,ok,,2314.076400012709,987,4,4,159177000,159.177,25.12925862404744
027,Joint IP Ownership,Joint IP Ownership,Joint IP Ownership,True,ok,,2290.257399989059,987,4,4,122021000,122.021,32.78124257299973
028,Joint IP Ownership,Joint IP Ownership,Joint IP Ownership,True,ok,,2323.1577000115067,991,4,4,149763000,149.763,26.708866676014768
029,License Grant,License Grant,License Grant,True,ok,,2224.1451000154484,987,3,3,80203000,80.203,37.405084597833
030,License Grant,License Grant,License Grant,True,ok,,2296.4108000160195,986,3,3,118012000,118.012,25.42114361251398
031,Non-Transferable License,Non-Transferable License,Non-Transferable License,True,ok,,2360.17540001194,991,6,6,191981000,191.981,31.253092753970442
032,Non-Transferable License,Non-Transferable License,Non-Transferable License,True,ok,,2328.318299987586,987,6,6,186095000,186.095,32.24159703377307
033,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,True,ok,,2502.197399997385,989,12,12,342068000,342.068,35.08074417951986
034,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,Unlimited/All-You-Can-Eat-License,True,ok,,2485.592100012582,986,12,12,322109000,322.109,37.25446976023645
035,Irrevocable or Perpetual License,Irrevocable or Perpetual License,Irrevocable or Perpetual License,True,ok,,2410.3299000125844,987,10,10,280876000,280.876,35.60289950013529
036,Irrevocable or Perpetual License,Irrevocable or Perpetual License,Irrevocable or Perpetual License,True,ok,,2444.449500006158,985,10,10,300456000,300.456,33.28274356311739
037,Source Code Escrow,Source Code Escrow,Source Code Escrow,True,ok,,2341.273400001228,994,5,5,148871000,148.871,33.58612490008128
038,Source Code Escrow,Source Code Escrow,Source Code Escrow,True,ok,,2328.75299997977,997,5,5,157418000,157.418,31.762568448335006
039,Post-Termination Services,Post-Termination Services,Post-Termination Services,True,ok,,2348.8752000266686,991,6,6,189763000,189.763,31.61838714607168
040,Post-Termination Services,Post-Termination Services,Post-Termination Services,True,ok,,2349.469599983422,990,6,6,195131000,195.131,30.748574034879134
041,Audit Rights,Audit Rights,Audit Rights,True,ok,,2153.726699994877,989,3,3,54124000,54.124,55.428275811100434
042,Audit Rights,Audit Rights,Audit Rights,True,ok,,2164.744299981976,990,3,3,53262000,53.262,56.32533513574406
043,Uncapped Liability,Uncapped Liability,Uncapped Liability,True,ok,,2216.9510000094306,984,4,4,100926000,100.926,39.632998434496564
044,Uncapped Liability,Uncapped Liability,Uncapped Liability,True,ok,,2291.523599997163,992,4,4,113528000,113.528,35.23359875977732
045,Cap on Liability,Cap on Liability,Cap on Liability,True,ok,,2296.5572999964934,992,4,4,139270000,139.27,28.72118905722697
046,Cap on Liability,Cap on Liability,Cap on Liability,True,ok,,2193.2986000028905,989,4,4,77582000,77.582,51.55835116392978
047,Liquidated Damages,Liquidated Damages,Liquidated Damages,True,ok,,2331.8365999730304,996,5,5,147559000,147.559,33.884751184272055
048,Liquidated Damages,Liquidated Damages,Liquidated Damages,True,ok,,2356.3680999795906,992,5,5,160873000,160.873,31.08041747216749
049,Insurance,Insurance,Insurance,True,ok,,2272.1692000050098,989,2,2,53206000,53.206,37.58974551742284
050,Insurance,Insurance,Insurance,True,ok,,2205.6856999988668,992,2,2,41937000,41.937,47.69058349428905
